Order,Family,Subfamily,Genus,Specie,Observations,url
Perciformes,Centrarchidae,,Micropterus,Micropterus punctulatus,390,https://www.inaturalist.org/taxa/105821-Micropterus-punctulatus
Cypriniformes,Cyprinidae,Leuciscinae,Rhinichthys,Rhinichthys cataractae,387,https://www.inaturalist.org/taxa/111654-Rhinichthys-cataractae
Perciformes,Pomacentridae,Pomacentrinae,Chromis,Chromis viridis,386,https://www.inaturalist.org/taxa/179880-Chromis-viridis
Perciformes,Pomacentridae,Pomacentrinae,Pomacentrus,Pomacentrus coelestis,382,https://www.inaturalist.org/taxa/132371-Pomacentrus-coelestis
Perciformes,Chaetodontidae,,Chaetodon,Chaetodon unimaculatus,379,https://www.inaturalist.org/taxa/97209-Chaetodon-unimaculatus
Cypriniformes,Cyprinidae,Barbinae,Systomus,Systomus rubripinnis,367,https://www.inaturalist.org/taxa/613717-Systomus-rubripinnis
Salmoniformes,Salmonidae,Salmoninae,Oncorhynchus,Oncorhynchus keta,362,https://www.inaturalist.org/taxa/107572-Oncorhynchus-keta
Perciformes,Chaetodontidae,,Chaetodon,Chaetodon striatus,352,https://www.inaturalist.org/taxa/97202-Chaetodon-striatus
Perciformes,Labridae,Corinae,Stethojulis,Stethojulis interrupta,349,https://www.inaturalist.org/taxa/113203-Stethojulis-interrupta
Perciformes,Chaetodontidae,,Heniochus,Heniochus acuminatus,345,https://www.inaturalist.org/taxa/102631-Heniochus-acuminatus
Cypriniformes,Cyprinidae,Barbinae,Acrossocheilus,Acrossocheilus paradoxus,339,https://www.inaturalist.org/taxa/128306-Acrossocheilus-paradoxus
Perciformes,Chaetodontidae,,Chaetodon,Chaetodon trifascialis,336,https://www.inaturalist.org/taxa/97207-Chaetodon-trifascialis
Perciformes,Labridae,Corinae,Hemigymnus,Hemigymnus melapterus,335,https://www.inaturalist.org/taxa/102580-Hemigymnus-melapterus
Perciformes,Pomacentridae,Pomacentrinae,Microspathodon,Microspathodon dorsalis,329,https://www.inaturalist.org/taxa/105832-Microspathodon-dorsalis
Perciformes,Pomacentridae,Pomacentrinae,Mecaenichthys,Mecaenichthys immaculatus,327,https://www.inaturalist.org/taxa/513053-Mecaenichthys-immaculatus
Perciformes,Chaetodontidae,,Chaetodon,Chaetodon melannotus,327,https://www.inaturalist.org/taxa/97174-Chaetodon-melannotus
Perciformes,Labridae,Corinae,Halichoeres,Halichoeres garnoti,324,https://www.inaturalist.org/taxa/49946-Halichoeres-garnoti
Perciformes,Labridae,Cheilininae,Novaculichthys,Novaculichthys taeniourus,315,https://www.inaturalist.org/taxa/63597-Novaculichthys-taeniourus
Cypriniformes,Cyprinidae,Leuciscinae,Abramis,Abramis brama,313,https://www.inaturalist.org/taxa/92984-Abramis-brama
Salmoniformes,Salmonidae,Salmoninae,Salvelinus,Salvelinus namaycush,312,https://www.inaturalist.org/taxa/111991-Salvelinus-namaycush
Perciformes,Pomacentridae,Pomacentrinae,Pomacentrus,Pomacentrus moluccensis,311,https://www.inaturalist.org/taxa/181028-Pomacentrus-moluccensis
Perciformes,Centrarchidae,,Micropterus,Micropterus floridanus,311,https://www.inaturalist.org/taxa/355459-Micropterus-floridanus
Perciformes,Chaetodontidae,,Chaetodon,Chaetodon citrinellus,311,https://www.inaturalist.org/taxa/97150-Chaetodon-citrinellus
Cypriniformes,Cyprinidae,Leuciscinae,Telestes,Telestes muticellus,307,https://www.inaturalist.org/taxa/113862-Telestes-muticellus
Cypriniformes,Cyprinidae,Cyprininae,Carassius,Carassius gibelio,306,https://www.inaturalist.org/taxa/424997-Carassius-gibelio
Perciformes,Pomacentridae,Pomacentrinae,Dascyllus,Dascyllus reticulatus,304,https://www.inaturalist.org/taxa/179872-Dascyllus-reticulatus
Perciformes,Labridae,Bodianinae,Bodianus,Bodianus rufus,303,https://www.inaturalist.org/taxa/49428-Bodianus-rufus
Perciformes,Chaetodontidae,,Chaetodon,Chaetodon ocellatus,302,https://www.inaturalist.org/taxa/49273-Chaetodon-ocellatus
Salmoniformes,Salmonidae,Salmoninae,Oncorhynchus,Oncorhynchus gorbuscha,297,https://www.inaturalist.org/taxa/107570-Oncorhynchus-gorbuscha
Perciformes,Pomacentridae,Pomacentrinae,Dascyllus,Dascyllus aruanus,294,https://www.inaturalist.org/taxa/952775-Dascyllus-aruanus
